"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3145","User login with correct email and password","LMS system","Thu Apr 30 11:20:58 UTC 2026","passed","Thu Apr 30 11:21:01 UTC 2026","Authorization","Authentication","",""
"","1771","User login with wrong email or password","LMS system","Thu Apr 30 11:20:58 UTC 2026","passed","Thu Apr 30 11:21:00 UTC 2026","Authorization","Authentication","",""
"","1626","User login with wrong email or password","LMS system","Thu Apr 30 11:21:00 UTC 2026","passed","Thu Apr 30 11:21:02 UTC 2026","Authorization","Authentication","",""
"","1706","Check displaying of dashboard page","LMS system","Thu Apr 30 11:21:09 UTC 2026","passed","Thu Apr 30 11:21:11 UTC 2026","Dashboard","Dashboard","",""
"","3397","Edit course","LMS system","Thu Apr 30 11:21:07 UTC 2026","passed","Thu Apr 30 11:21:10 UTC 2026","Courses","Courses","",""
"","1347","Check displaying of empty courses list","LMS system","Thu Apr 30 11:21:05 UTC 2026","passed","Thu Apr 30 11:21:06 UTC 2026","Courses","Courses","",""
"","2524","Create course","LMS system","Thu Apr 30 11:21:06 UTC 2026","passed","Thu Apr 30 11:21:09 UTC 2026","Courses","Courses","",""
"","1381","User login with wrong email or password","LMS system","Thu Apr 30 11:21:01 UTC 2026","passed","Thu Apr 30 11:21:03 UTC 2026","Authorization","Authentication","",""
"","1577","Registration with correct email, username and password","LMS system","Thu Apr 30 11:21:03 UTC 2026","passed","Thu Apr 30 11:21:05 UTC 2026","Registration","Authentication","",""
"","1229","Navigation from login page to registration page","LMS system","Thu Apr 30 11:21:02 UTC 2026","passed","Thu Apr 30 11:21:03 UTC 2026","Authorization","Authentication","",""
