"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2897","Create course","LMS system","Thu Apr 30 10:59:25 UTC 2026","passed","Thu Apr 30 10:59:28 UTC 2026","Courses","Courses","",""
"","1782","Check displaying of dashboard page","LMS system","Thu Apr 30 10:59:28 UTC 2026","passed","Thu Apr 30 10:59:30 UTC 2026","Dashboard","Dashboard","",""
"","1476","User login with wrong email or password","LMS system","Thu Apr 30 10:59:20 UTC 2026","passed","Thu Apr 30 10:59:21 UTC 2026","Authorization","Authentication","",""
"","1704","User login with wrong email or password","LMS system","Thu Apr 30 10:59:18 UTC 2026","passed","Thu Apr 30 10:59:20 UTC 2026","Authorization","Authentication","",""
"","3061","User login with correct email and password","LMS system","Thu Apr 30 10:59:16 UTC 2026","passed","Thu Apr 30 10:59:19 UTC 2026","Authorization","Authentication","",""
"","1317","Navigation from login page to registration page","LMS system","Thu Apr 30 10:59:20 UTC 2026","passed","Thu Apr 30 10:59:22 UTC 2026","Authorization","Authentication","",""
"","3855","Edit course","LMS system","Thu Apr 30 10:59:25 UTC 2026","passed","Thu Apr 30 10:59:29 UTC 2026","Courses","Courses","",""
"","1360","Check displaying of empty courses list","LMS system","Thu Apr 30 10:59:23 UTC 2026","passed","Thu Apr 30 10:59:25 UTC 2026","Courses","Courses","",""
"","1653","User login with wrong email or password","LMS system","Thu Apr 30 10:59:16 UTC 2026","passed","Thu Apr 30 10:59:18 UTC 2026","Authorization","Authentication","",""
"","1650","Registration with correct email, username and password","LMS system","Thu Apr 30 10:59:21 UTC 2026","passed","Thu Apr 30 10:59:23 UTC 2026","Registration","Authentication","",""
