"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2633","Create course","LMS system","Thu Apr 30 10:51:32 UTC 2026","passed","Thu Apr 30 10:51:35 UTC 2026","Courses","Courses","",""
"","1743","User login with wrong email or password","LMS system","Thu Apr 30 10:51:24 UTC 2026","passed","Thu Apr 30 10:51:26 UTC 2026","Authorization","Authentication","",""
"","1650","Registration with correct email, username and password","LMS system","Thu Apr 30 10:51:29 UTC 2026","passed","Thu Apr 30 10:51:31 UTC 2026","Registration","Authentication","",""
"","1389","Check displaying of empty courses list","LMS system","Thu Apr 30 10:51:31 UTC 2026","passed","Thu Apr 30 10:51:32 UTC 2026","Courses","Courses","",""
"","1645","User login with wrong email or password","LMS system","Thu Apr 30 10:51:26 UTC 2026","passed","Thu Apr 30 10:51:28 UTC 2026","Authorization","Authentication","",""
"","1832","Check displaying of dashboard page","LMS system","Thu Apr 30 10:51:36 UTC 2026","passed","Thu Apr 30 10:51:37 UTC 2026","Dashboard","Dashboard","",""
"","1344","Navigation from login page to registration page","LMS system","Thu Apr 30 10:51:28 UTC 2026","passed","Thu Apr 30 10:51:29 UTC 2026","Authorization","Authentication","",""
"","3508","Edit course","LMS system","Thu Apr 30 10:51:33 UTC 2026","passed","Thu Apr 30 10:51:36 UTC 2026","Courses","Courses","",""
"","1484","User login with wrong email or password","LMS system","Thu Apr 30 10:51:27 UTC 2026","passed","Thu Apr 30 10:51:29 UTC 2026","Authorization","Authentication","",""
"","3158","User login with correct email and password","LMS system","Thu Apr 30 10:51:24 UTC 2026","passed","Thu Apr 30 10:51:27 UTC 2026","Authorization","Authentication","",""
