"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1588","Check displaying of dashboard page","LMS system","Thu Apr 30 16:52:13 UTC 2026","passed","Thu Apr 30 16:52:15 UTC 2026","Dashboard","Dashboard","",""
"","2175","Create course","LMS system","Thu Apr 30 16:52:10 UTC 2026","passed","Thu Apr 30 16:52:12 UTC 2026","Courses","Courses","",""
"","1608","User login with wrong email or password","LMS system","Thu Apr 30 16:52:04 UTC 2026","passed","Thu Apr 30 16:52:06 UTC 2026","Authorization","Authentication","",""
"","1469","User login with wrong email or password","LMS system","Thu Apr 30 16:52:06 UTC 2026","passed","Thu Apr 30 16:52:07 UTC 2026","Authorization","Authentication","",""
"","1842","User login with wrong email or password","LMS system","Thu Apr 30 16:52:02 UTC 2026","passed","Thu Apr 30 16:52:04 UTC 2026","Authorization","Authentication","",""
"","2984","User login with correct email and password","LMS system","Thu Apr 30 16:52:02 UTC 2026","passed","Thu Apr 30 16:52:05 UTC 2026","Authorization","Authentication","",""
"","1420","Registration with correct email, username and password","LMS system","Thu Apr 30 16:52:07 UTC 2026","passed","Thu Apr 30 16:52:09 UTC 2026","Registration","Authentication","",""
"","1274","Navigation from login page to registration page","LMS system","Thu Apr 30 16:52:07 UTC 2026","passed","Thu Apr 30 16:52:08 UTC 2026","Authorization","Authentication","",""
"","2964","Edit course","LMS system","Thu Apr 30 16:52:11 UTC 2026","passed","Thu Apr 30 16:52:14 UTC 2026","Courses","Courses","",""
"","1260","Check displaying of empty courses list","LMS system","Thu Apr 30 16:52:09 UTC 2026","passed","Thu Apr 30 16:52:11 UTC 2026","Courses","Courses","",""
